ID,Tweet,Location
1582175724185665536-,ho appena chiuso una chiamata di 4 ore con il mio migliore amico io giuro odio parlare al telefono ma con lui è tutto più bello sono stata così bene è la mia vita ,None
1582142408698929154-,Odio la mia vita ricca di sfortune,None
1582139760721944576-,odio la mia vita ,None
1582099842670555136-,"Come si fa conoscenza 
Chiedo perché ho avuto la conferma dai i miei compagni che lancio certe occhiate di odio che faccio paura 
HELP me  la mia vita è noiosa e mi sono stufata a fare la spettatrice   ormai metto hashtag a caso",None
1582083974322495490-,odio la mia vita mi odio,None
1582082641020751873-,nkn so cosa mangiare letteralmente oggi non mi sono mosso per nulla e sono a dieta quindi mi sentirei in colpa odio la mia vita,None
1582080931690528768-,la mia vita è un loop continuo delle cose che odio di più,None
1582052251618938881-,Io odio così tanto la mia vita me stesso tutto non cè una singola cosa che mi piaccia  ,None
1582041461440188417-,sentendo mia madre sussurrare cazz0 io ti odio hai rovinato la vita delle donne,None
1582003115523735552-, nonostante faccia comunque male perché ha paura di tutto ci sono tanti perché ma ti posso assicurare che non passo un giorno senza pensare a come potrebbe essere la mia vita se effettivamente facessi quel minimo cambiamento quella minima mossa che non riesco a fare e odio,None
1581997819631927296-,"  Per giustificare il mio odio verso Renzi basta citare il Jobs Act non serve specificare mille diversi motivi 
Per il resto hai detto una cagata Come se non potessi criticare il governo se la mia aspirazione nella vita non fosse quella di fare carriera politica",None
1581961646678810624-,"Con il istj è okay tutti e due siamo perfezionisti
È con il infp che avevo paura di provare a parlarci è stato lui a parlarmi per primo e gli ho detto che la maglietta faceva schifo e si è messo a piangere
Odio la mia vita",None
1581936797135024129-,Odio la mia vita,None
1581868584091156480-,taylor swift sei una pazza tu pagherai per tutto questo ti odio sei la mia vita sei tutto per me ti amo,None
1581744996260028416-,Il più bel tweet letto in vita mia una perla in mezzo ad un mare di odio e offese Grazie Paola spengo la luce e tengo con me le tue splendide parole viva lItalia fatta di persone belle come te ,None
